trip_id,subscriber_type,bike_id,bike_type,start_time,customer_id,customer_age,customer_gender,customer_user_type,trip_date,trip_hour,trip_day_of_week,is_weekend,clean_start_station_id,clean_start_station_name,start_station_property_type,start_station_power_type,start_station_docks,start_station_footprint_length,start_station_footprint_width,clean_end_station_id,clean_end_station_name,end_station_property_type,end_station_power_type,end_station_docks,end_station_footprint_length,end_station_footprint_width,duration_minutes
25917416,Student Membership,19935,electric,2022-01-17 11:58:46.000000 UTC,C-0013,18,Female,Customer,2022-01-17,11,2,0,2498,Dean Keeton/Speedway,sidewalk,non-metered,17,50,5.0,3799,23rd/San Jacinto @ DKR Stadium,sidewalk,solar,22,30,7.5,3
25944837,Student Membership,19185,electric,2022-01-25 19:42:49.000000 UTC,C-0107,23,Male,Subscriber,2022-01-25,19,3,0,2498,Dean Keeton/Speedway,sidewalk,non-metered,17,50,5.0,3795,Dean Keeton/Whitis,undetermined_parking,solar,19,55,5.0,2
25960962,Student Membership,019G,classic,2022-01-30 01:55:01.000000 UTC,C-0036,42,Female,Customer,2022-01-30,1,1,1,2498,Dean Keeton/Speedway,sidewalk,non-metered,17,50,5.0,3798,21st/Speedway @ PCL,sidewalk,solar,22,30,7.5,3
25974376,Student Membership,21697,electric,2022-02-02 12:33:51.000000 UTC,C-0042,34,Female,Subscriber,2022-02-02,12,4,0,2498,Dean Keeton/Speedway,sidewalk,non-metered,17,50,5.0,3838,26th/Nueces,undetermined_parking,solar,13,40,5.0,4
25975319,Student Membership,16874,electric,2022-02-02 17:23:34.000000 UTC,C-0118,40,Female,Subscriber,2022-02-02,17,4,0,2498,Dean Keeton/Speedway,sidewalk,non-metered,17,50,5.0,3793,28th/Rio Grande,paid_parking,solar,13,40,5.0,5
25980897,Student Membership,22567,electric,2022-02-05 15:12:35.000000 UTC,C-1313,37,Male,Subscriber,2022-02-05,15,7,1,2498,Dean Keeton/Speedway,sidewalk,non-metered,17,50,5.0,3790,Lake Austin Blvd/Deep Eddy,sidewalk,solar,13,40,5.0,29
25986684,Student Membership,19453,electric,2022-02-06 20:34:03.000000 UTC,C-0004,40,Female,Subscriber,2022-02-06,20,1,1,2498,Dean Keeton/Speedway,sidewalk,non-metered,17,50,5.0,3798,21st/Speedway @ PCL,sidewalk,solar,22,30,7.5,3
26002117,Pay-as-you-ride,21630,electric,2022-02-09 20:15:47.000000 UTC,C-0169,56,Female,Subscriber,2022-02-09,20,4,0,2498,Dean Keeton/Speedway,sidewalk,non-metered,17,50,5.0,3793,28th/Rio Grande,paid_parking,solar,13,40,5.0,19
26009787,Student Membership,19688,electric,2022-02-11 13:52:32.000000 UTC,C-1483,19,Male,Subscriber,2022-02-11,13,6,0,2498,Dean Keeton/Speedway,sidewalk,non-metered,17,50,5.0,2498,Dean Keeton/Speedway,sidewalk,non-metered,17,50,5.0,2
26011474,Student Membership,21550,electric,2022-02-11 17:50:47.000000 UTC,C-0003,60,Female,Customer,2022-02-11,17,6,0,2498,Dean Keeton/Speedway,sidewalk,non-metered,17,50,5.0,3798,21st/Speedway @ PCL,sidewalk,solar,22,30,7.5,4
26023113,Student Membership,19849,electric,2022-02-14 14:20:34.000000 UTC,C-0017,37,Male,Subscriber,2022-02-14,14,2,0,2498,Dean Keeton/Speedway,sidewalk,non-metered,17,50,5.0,2548,Guadalupe/West Mall @ University Co-op,paid_parking,solar,15,45,5.0,5
